"userid","userenabled","title","district","facility","value","occupation","phone_present","biography_present"
33704,1,"Supervisor Voucher Audit","3","541","","",t,t
33705,1,"Claims Assistant","4","349","","",t,t
33706,1,"Senior Outreach Representative","1","310","","",t,t
33707,1,"Telecommunication Manager","4","660","","",t,t
33708,1,"MSW Intern","4","660","","",t,t
33709,1,"Supervisor Sleep Center","5","605","","",t,t
33710,1,"LPN","3","0424V","","",t,t
33711,1,"ARNP","2","546","","",t,t
33712,1,"","3","541","","",t,t
33713,1,"Business Manager","2","509","","",t,t
33714,1,"MCAA Program Analyst","3","656","","",t,t
33715,1,"VSR","5","346","","",t,t
33716,1,"RN","3","618","","",t,t
33717,1,"REGISTERED NURSE, ASSISTANT NURSE MANAGER","2","509","","",t,t
33718,1,"Chief, Health Administration Service/Acting GPM","4","504","","",t,t
33719,1,"FIRST PARTY CONTACT REPRESENTATIVE","3","702","","",t,t
33720,1,"Surgical Scheduling Coordinator","4","598","","",t,t
33721,1,"Occupational Therapist","1","518","","",t,t
33722,1,"Chief Technologist","1","659","","",t,t
33723,1,"Occupational Therapist","1","460","","",t,t
33724,1,"LPN","1","693GA","VHA – LPN (AES 26)","AES 26",f,t
33726,1,"Advanced Medical Support Assistant","5","644","","",t,t
33727,1,"CPS/P S A","2","508","","",t,t
33732,1,"HRC Customer Representative","3","702","VHA – WG Employee at WG-5 through WG-8 (AES 62)","AES 62",t,t
33733,1,"Prosthetic Representative/Administrative Officer","4","580","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
33734,1,"Program Analyst","1","640","","",t,t
33735,1,"Chief, VHA Vendor Relations","1","101","","",t,t
33740,1,"Staff Physician","4","586","","",t,t
33741,1,"Attending Physician","1","528A7","","",t,t
33742,1,"IT Specialist","4","519","","",t,f
33743,1,"Medical Support Assistant","4","436GD","VHA – Clinic Scheduler (AES 49)","AES 49",t,t
33744,1,"Director of Health Systems Innovation Planning and Coordination","1","101","","",t,t
33745,1,"Lead Psychiatrist SC CBOC","2","544BZ","","",t,t
33746,1,"arnp","2","0310V","","",t,t
33747,1,"Unit Chief","1","310","","",t,t
33748,1,"Quality Systems Improvement","3","578","","",t,t
33749,1,"LPN","1","693GA","","",t,t
33750,1,"RN/triage/case manager","1","636A5","","",t,t
33751,1,"Attending Physician Neurology and Sleep Medicine","1","688","","",t,t
33752,1,"Clinical Pharmacist","2","546","","",t,t
33753,1,"Physical Therapist","2","557","","",t,t
33754,1,"Program Application Specialist (PAS)","1","613","","",t,t
33755,1,"AVSCM","2","319","","",t,t
33756,1,"Director, Office of Patient Centered Care","1","620","VHA – Physician: All other physicians (AES 14)","AES 14",t,t
33757,1,"Lead Program Specialist","1","101","","",t,t
33758,1,"Staff Psychologist","3","636A6","VHA – Psychologist (AES 30)","AES 30",t,t
33759,1,"CLC/Hospice Psychologist","1","517","","",t,t
33761,1,"Nurse Manager","1","528A4","VHA – RN: Level II (AES 22)","AES 22",t,t
33762,1,"Nurse Manager","4","580","VHA – RN: Level II (AES 22)","AES 22",t,t
33763,1,"Acting Chief, Sleep Medicine","4","671","VHA – Psychologist (AES 30)","AES 30",f,t
33764,1,"Chief Systems Improvement Officer, SR Manager","1","659","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",f,f
33765,1,"Research Assistant","5","640","","",t,t
33766,1,"Veteran Service Representative","4","351","","",t,t
33767,1,"VSR","1","318","","",t,t
33768,1,"HR Specialist","1","101","","",t,t
33769,1,"VAQS fellow","1","122","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
33770,1,"Quality Management Coordinator","1","655","","",t,t
33771,1,"Financial Administrative Specialist","3","333","VBA – Accounting Technician (AES 302)","AES 302",t,t
33772,1,"Records Management Officer","3","333","","",t,t
33773,1,"Financial Services Specialist","3","333","","",t,t
33774,1,"Program Support Assistant","2","508GH","","",t,t
33775,1,"Financial Administrative Specialist","3","334","","",t,t
33776,1,"Claims Assistant","1","349","","",t,t
33777,1,"Epidemiologist","1","346","","",t,t
33778,1,"Training Specialist","3","656","","",t,t
33779,1,"Assistant Secretary for Information and Technology (OI&T) and Chief Information Officer","1","101","OIT – Senior Executive – including Deputy Chief Information Officer, Deputy Assistant Secretary, Facility CIO, Network CIO (AES 216)","AES 216",t,f
33780,1,"Accountant","3","656","","",t,t
33781,1,"Claims Assistant","1","349","","",t,t
33782,1,"OEF/OIF/OND CARE MANAGER","1","526","","",t,t
33783,1,"MEDICAL SUPPORT ASSISTANT","3","589","","",t,t
33785,1,"ACOS, Mental Healthb Service","4","598","","",t,t
33786,1,"Medical Foster Home Coordinator","4","667","VHA – Social Worker (AES 31)","AES 31",f,f
33787,1,"Supervisor, Employee Relations Specialist","4","667","VHA – Human Resources Specialist (AES 74)","AES 74",t,t
33788,1,"Associate Director","4","667","VHA – Administrative employee at or above the GS-15 and Title 38 equivalent level including members of facility, VISN, and CO program office senior leadership teams (AES 53)","AES 53",t,t
33798,1,"Director's Consumer Advocate","4","667","","",t,t
33799,1,"Veteran-Centered Care Coordinator","1","667","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
33801,1,"Minority Veterans Program Manager","4","667","","",t,t
33804,1,"Assistant Chief, Mental Health Service","1","667","","",t,t
33805,1,"Executive Secretary","1","667","","",t,t
33807,1,"Executive Assistant to the Associate Director","4","667","","",f,t
33808,1,"Records Management Officer","3","330","VBA – Program Specialist (AES 356)","AES 356",f,f
33809,1,"Health Technician","2","509","","",t,t
33810,1,"Audiologist","5","663","","",t,t
33811,1,"HBPC Program Director","1","642","VHA – Nurse Practitioner (AES 20)","AES 20",t,t
33812,1,"Health Systems Specialist - Rural Health Integration Program Manager","1","659","","",t,t
33813,1,"Unit Chief","1","310","","",t,t
33814,1,"Health Systems Specialist","3","556","","",t,t
33815,1,"Community Employment Coordinator","1","523","","",t,t
33816,1,"Occupational Therapist","4","540","","",t,t
33817,1,"DIAGNOSTIC RADIOLOGIC TECHNOLOGIST","1","620A4","","",t,t
33818,1,"HR Assistant","3","695","","",t,t
33819,1,"Nurse Manager","3","655","","",t,t
33820,1,"Patient  Representative","4","667","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
33823,1,"RN","1","509","","",t,t
33824,1,"RN","5","678","","",t,t
33825,1,"Nurse","3","552","VHA – LPN (AES 26)","AES 26",t,t
33826,1,"RN","1","676","VHA – RN: Level I (AES 21)","AES 21",t,t
33827,1,"OSDBU/DAP/Program Manager","1","101","","",f,f
33828,1,"Quality Management and Program Analyst","3","10N12","","",t,t
33829,1,"Risk Manager","2","521","VHA – RN: Level III (AES 23)","AES 23",t,t
33832,1,"Homeless Veteran Outreach Coordinator","1","346","VBA – Legal Admin Specialist (AES 340)","AES 340",t,t
33833,1,"RN","1","552","VHA – RN: Level II (AES 22)","AES 22",t,t
33834,1,"Outreach and Special Events Coordinator","1","101","NCA – Central Office Program Analyst (AES 116)","AES 116",t,t
33835,1,"Sys & Proc Ana","4","200","VACO – Systems and Procedures Analyst (AES 441)","AES 441",t,t
33836,1,"Program Analyst","1","101","VACO – Program Analyst/Program Management Specialist (AES 430)","AES 430",t,t
33837,1,"veterans service representative","4","323","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33838,1,"Realty Specialist","1","101","VBA – Realty Specialist (AES 360)","AES 360",t,t
33839,1,"Chief, Chaplain Services","1","659","VHA – Chaplain (AES 32)","AES 32",t,t
33840,1,"Chief Audiology and Speech Pathology","2","516","VHA – Other certified or licensed hands-on direct patient care provider (AES 36)","AES 36",t,t
33841,1,"","2","508","VHA – Dietitians and Interns (AES 83)","AES 83",t,t
33842,1,"Budget Analyst","1","101","VACO – Budget Analyst (AES 407)","AES 407",t,t
33843,1,"Accountant","3","553","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
33844,1,"","1","101","VACO – Management Analyst (AES 424)","AES 424",t,t
33845,1,"","3","326","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33846,1,"RVSR","1","304","VBA – Veteran Claims Examiners (AES 372)","AES 372",t,t
33847,1,"RATING VETERANS SERVICE REPRESENTATIVE","1","397","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33848,1,"RVSR","1","316","VBA – Veteran Claims Examiners (AES 372)","AES 372",t,t
33849,1,"RVSR","2","316","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33851,1,"Rating Veteran Service Representative","1","316","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33852,1,"Rating Veterans Service Representative","1","316","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33853,1,"RVSR","2","316","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33854,1,"RVSR","1","326","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33855,1,"RVSR","1","316","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33856,1,"Nursing Assistant","1","552","VHA – Nursing Assistant (AES 27)","AES 27",t,t
33857,1,"Nursing Secretary","1","541","VBA – Program Support Assistant (AES 357)","AES 357",t,t
33858,1,"Contract Specialist","1","101","NCA – Cemetery Administrative Staff (AES 110)","AES 110",t,t
33859,1,"Supervisory Executive Assistant","1","101","VACO – Executive Assistant (AES 413)","AES 413",t,t
33860,1,"RN","2","202","VHA – RN: Level I (AES 21)","AES 21",t,t
33861,1,"Clinical Nurse Educator, CCU","2","509","VHA – Educator/Learning Officer (for example Nursing Educator, Designated Learning Officer, Designated Education Officer) (AES 119)","AES 119",f,f
33862,1,"Program Analyst","1","101","OIT – Program Analyst – including Program Analyst, Program Management Specialist (AES 222)","AES 222",t,t
33863,1,"Clinical Education Chief","1","538","VHA – RN: Level III (AES 23)","AES 23",t,t
33864,1,"","1","562","VHA – Chaplain (AES 32)","AES 32",t,t
33865,1,"Secretary","3","541","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
33866,1,"Secretary","2","509","VHA – Administrative or clerical employee working in a clinical area (for example a Ward Secretary, Radiology Receptionist) (AES 40)","AES 40",t,t
33867,1,"Rating Veterans Service Representative","4","362","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33868,1,"Course Advocate","2","0314V","Other (including Contractor)","tractor",t,t
33869,1,"","1","659BY","VHA – Administrative employee at or above the GS-15 and Title 38 equivalent level including members of facility, VISN, and CO program office senior leadership teams (AES 53)","AES 53",t,t
33870,1,"Nephrology Coordinator","2","573","VHA – Social Worker (AES 31)","AES 31",t,t
33871,1,"LEAD HR SPECIALIST","1","620A4","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
33874,1,"readjustment counselor","4","0732V","VHA – Social Worker (AES 31)","AES 31",t,t
33878,1,"PACT RN","3","656GA","VHA – RN: Level II (AES 22)","AES 22",t,t
33879,1,"Program Analyst","2","101","VACO – Program Analyst/Program Management Specialist (AES 430)","AES 430",f,t
33880,1,"Mainfram Specialist","4","281","Other (including Contractor)","tractor",t,t
33881,1,"Program Analayst","1","583","VBA – Program Analyst (AES 354)","AES 354",t,t
33882,1,"Program Support Assistant NFS","1","528A6","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
33883,1,"RVSR","1","402","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33884,1,"Voucher Examiner","5","648","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
33886,1,"VSR","1","314","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33888,1,"Senior Veterans Service Representative","4","339","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33890,1,"","4","339","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33891,1,"VSR","4","339","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33893,1,"Senior Veteran Service Representative","4","339","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33894,1,"Veteran Service Representative","4","339","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33895,1,"Non VA Care Coordinator RN","3","583","VHA – RN: Level III (AES 23)","AES 23",t,t
33896,1,"RVSR","4","339","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33897,1,"","5","346","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33898,1,"Veteran Service Representative","5","343","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33899,1,"VSR","4","349","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33906,1,"Chief, Hematology/Oncology","1","630A4","VHA – Physician: Medicine including all sub-specialties (AES 13)","AES 13",t,t
33907,1,"Nurse Manager","2","516","VHA – RN: Level III (AES 23)","AES 23",t,t
33912,1,"Advance Medical Support Assistant","1","534","VHA – Administrative or clerical employee working in a clinical area (for example a Ward Secretary, Radiology Receptionist) (AES 40)","AES 40",f,t
33913,1,"Lead Medical Support Assistant","2","0303V","VHA – Administrative or clerical employee working in a clinical area (for example a Ward Secretary, Radiology Receptionist) (AES 40)","AES 40",f,t
33915,1,"RVSR","4","339","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33916,1,"VSR","4","339","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33922,1,"National Program Manager","1","101","VHA – Social Worker (AES 31)","AES 31",t,t
33923,1,"","4","598","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
33924,1,"Registered Nurse","2","0303V","VHA – RN: Level II (AES 22)","AES 22",t,t
33925,1,"Team Lead","3","101","OIT – Management Analyst – including Management Analyst, Program Manager (AES 221)","AES 221",t,t
33926,1,"Social Worker Case Manager","5","691","VHA – Social Worker (AES 31)","AES 31",t,t
33927,1,"Advance Medical Support Asst","2","534","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
33928,1,"VSR","4","351","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33929,1,"RN","1","509","VHA – RN: Level II (AES 22)","AES 22",t,t
33930,1,"","3","103","OIT – Management Analyst – including Management Analyst, Program Manager (AES 221)","AES 221",t,t
33931,1,"staff physician","2","508","VHA – Physician: Medicine including all sub-specialties (AES 13)","AES 13",t,t
33934,1,"Lead Medical supply Technician","2","0223V","VHA – Clinical Nurse Specialist (AES 42)","AES 42",t,t
33935,1,"Contractor/Graphic Designer","1","512A5","Other (including Contractor)","tractor",t,t
33936,1,"Nurse Manager","1","509","VHA – RN: Level III (AES 23)","AES 23",t,t
33938,1,"Veterans Service Representative","1","402","VBA – Veterans Service Representative (AES 377)","AES 377",t,f
33939,1,"Gerontological Nurse Practitioner","3","553","VHA – Nurse Practitioner (AES 20)","AES 20",t,t
33940,1,"Veteran Service Representative","1","349","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33941,1,"Clinical Pharmacy Specialist / Clinic Coordinator","1","558","VHA – Pharmacist (AES 28)","AES 28",t,t
33942,1,"Occupational Therapitst","3","101","VHA – Other certified or licensed hands-on direct patient care provider (AES 36)","AES 36",t,t
33943,1,"Veteran Service Representative","4","349","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33946,1,"VSR","4","349","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33947,1,"Veteran Service Representative","4","349","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33951,1,"Lead Insurance Specialist","1","xxx","VBA – Insurance Specialist (AES 336)","AES 336",t,t
33952,1,"Data Manager","5","663","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
33953,1,"PACT Care Manager","4","0713V","VHA – RN: Level II (AES 22)","AES 22",t,t
33956,1,"RN","1","593","VHA – RN: Level I (AES 21)","AES 21",t,t
33958,1,"AA/COS","2","557","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
33959,1,"Associate Director Patient Care Services","1","657A5","VHA – RN: Level V (AES 25)","AES 25",t,t
33962,1,"","1","101","VHA – WG Employee at WG-5 through WG-8 (AES 62)","AES 62",t,t
33963,1,"Physical Therapist","5","600","VHA – Physical Medicine Therapist (for example a PT, OT or KT) (AES 33)","AES 33",t,t
33964,1,"Program Analyst","1","101","VACO – Program Analyst/Program Management Specialist (AES 430)","AES 430",t,t
33965,1,"CNP","1","541","VHA – Nurse Practitioner (AES 20)","AES 20",t,t
33966,1,"Biomedical Engineer","3","583","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
33976,1,"Chief, Food Production and Services","1","528A6","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
33977,1,"RVSR","1","314","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33979,1,"Performance Measure Oversight Coordinator","2","521","VHA – RN: Level II (AES 22)","AES 22",t,t
33980,1,"HEALTH SYSTEMS SPECIALIST / SAIL COORDINATOR","1","619A4","OIT – Data Management (DATAMGT) – including data administrator, data analyst, data architect, data storage specialist, data warehouse specialist, database administrator, database developer (AES 204)","AES 204",t,t
33981,1,"Quality Standards Nurse","2","679","VHA – RN: Level III (AES 23)","AES 23",t,t
33983,1,"Systems Redesign Coordinator","5","649","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",f,f
33984,1,"EEO Manager","1","649","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
33987,1,"VSR","4","349","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33989,1,"","1","101","VACO – Program Analyst/Program Management Specialist (AES 430)","AES 430",t,t
33990,1,"food service worker","1","528A6","VHA – Other WG employees at WG-1 through WG-4 (AES 61)","AES 61",t,t
33992,1,"VSR","1","314","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33993,1,"Senior Veteran Service Representative","1","314","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33995,1,"VSR","1","314","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
33997,1,"Telehealth Nurse Manager","2","509","VHA – RN: Level II (AES 22)","AES 22",f,t
34001,1,"Deputy Chief","2","534","VHA – Police Officer (AES 45)","AES 45",t,t
34002,1,"Coordinator","4","104","OIT – Financial Services – including Budget Analyst, Budget Technician/Budget Assistant, Accountant, Systems and Procedures Analyst (AES 219)","AES 219",t,t
34003,1,"Financial Management Specialist","4","104","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
34004,1,"Art Therapist","5","640","VHA – Other certified or licensed hands-on direct patient care provider (AES 36)","AES 36",t,t
34005,1,"IT Specialist","1","660","OIT – Customer Support (CUSTSPT) – including customer support specialist, help desk representative, maintenance specialist, technical support specialist (AES 203)","AES 203",t,t
34006,1,"RVSR","1","346","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
34007,1,"Clinical Performance Improvemnet Specialist","1","573","VHA – RN: Level III (AES 23)","AES 23",t,t
34008,1,"Ultrasound Tech.","1","0221V","VHA – Diagnostic Imaging Technician excluding administrative support employee (for example Diagnostic X-Ray or Nuclear Medicine) (AES 39)","AES 39",t,t
34009,1,"Public Affairs Specialist","1","101","VACO – Public Affairs Specialist (AES 434)","AES 434",t,t
34010,1,"Director, Learning Infrastructure","","101","VACO – Administrative employee at or above the GS-15 and VACO program office senior leadership teams (AES 403)","AES 403",f,f
34016,1,"My HealtheVet Coordinator","2","534","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
34017,1,"MyHealtheVet Coordinator","2","509","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",f,t
34018,1,"MHV Coordinator","2","PCAC-N","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",f,t
34019,1,"My HealtheVet Coordinator","1","679","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
34020,1,"Acting MyHealtheVet Coordinator","2","521","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
34021,1,"My Healthe Vet Coordinator","2","619","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
34022,1,"EDI SAS BI Developer","1","104","OIT – Applications Software (APPSW) – including applications developer, programmer, programmer analyst, software developer, software engineer, software quality assurance specialist (AES 201)","AES 201",t,t
34023,1,"Photographer","5","640","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
34024,1,"Clinical Manager","5","648","VHA – RN: Level III (AES 23)","AES 23",t,t
34031,1,"","5","617","VHA – Clinical Nurse Specialist (AES 42)","AES 42",t,t
34034,1,"Sleep lab director","1","630A4","VHA – Physician: Medicine including all sub-specialties (AES 13)","AES 13",t,t
34035,1,"physician assistant","3","636A8","VHA – Physician Assistant (AES 19)","AES 19",t,t
34036,1,"","5","663","VHA – Non-Clinical Scientist (AES 72)","AES 72",t,t
34038,1,"Financial Analyst","3","578","OIT – Financial Services – including Budget Analyst, Budget Technician/Budget Assistant, Accountant, Systems and Procedures Analyst (AES 219)","AES 219",t,t
34039,1,"VISN 6 Accreditation Specialist","1","10N6","VHA – RN: Level IV (AES 24)","AES 24",t,t
34040,1,"Psychology Intern","1","648A4","VBA – Student Trainee (AES 364)","AES 364",t,t
34041,1,"Geriatric Consult Service NP","3","583","VHA – Nurse Practitioner (AES 20)","AES 20",t,t
34042,1,"Secretary","5","678","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
34043,1,"Vocational Rehab Counselor","2","320","VBA – Vocational Rehabilitation Counselor (AES 373)","AES 373",t,t
34044,1,"MICU/Dialysis Social Worker","1","573","VHA – Social Worker (AES 31)","AES 31",t,t
34045,1,"Program Specialist","2","508","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
34046,1,"QRS","1","320","VBA – Quality Assurance Specialist (AES 375)","AES 375",t,t
34047,1,"staff physician","3","578","VHA – Physician: All other physicians (AES 14)","AES 14",t,t
34048,1,"echo technologist","2","101","VHA – Clinical laboratory employee excluding administrative support employees (for example Medical Technologists and Technicians) (AES 38)","AES 38",t,t
34050,1,"Manager, Nutrition and Food Services","1","528A6","VHA – Other certified or licensed hands-on direct patient care provider (AES 36)","AES 36",t,t
34051,1,"Information Technology Specialist","3","590","OIT – Customer Support (CUSTSPT) – including customer support specialist, help desk representative, maintenance specialist, technical support specialist (AES 203)","AES 203",t,t
34053,1,"RVSR","5","346","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
34054,1,"claims assistant","3","349","VBA – Claims Assistant (AES 313)","AES 313",t,t
34055,1,"Veterans Service Representative","3","335","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
34056,1,"State Service Officer","4","339","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
34057,1,"","1","101","VBA – Associate Deputy Under Secretary for Benefits (AES 307)","AES 307",t,t
34058,1,"LPN","3","202","VHA – LPN (AES 26)","AES 26",f,f
34059,1,"Program Application Specialist","2","607","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
34060,1,"Administrative Officer","2","619","VHA – Administrative or clerical employee working in a clinical area (for example a Ward Secretary, Radiology Receptionist) (AES 40)","AES 40",t,t
34061,1,"Registered Nurse","5","644","VHA – RN: Level III (AES 23)","AES 23",t,t
34062,1,"SPHM/ Falls Coordinator","2","614","VHA – RN: Level II (AES 22)","AES 22",t,t
34063,1,"Assistant Coach","3","335","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
34064,1,"Hematolgy/Oncology Research NP","1","526","VHA – Nurse Practitioner (AES 20)","AES 20",t,t
34065,1,"RN, MSN-HCQ, Nursing Quality Manager","1","637","VHA – RN: Level III (AES 23)","AES 23",t,t
34066,1,"RVSR","3","333","VBA – Veteran Claims Examiners (AES 372)","AES 372",t,t
34069,1,"RN","1","534","VHA – RN: Level I (AES 21)","AES 21",t,t
34070,1,"Budget Analyst","3","657A5","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
34071,1,"Coach","4","362","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
34072,1,"Veterans Service Representative","2","316","VBA – Veteran Claims Examiners (AES 372)","AES 372",t,t
34073,1,"Program Support Assistant","1","691","VHA – Administrative or clerical employee working in a clinical area (for example a Ward Secretary, Radiology Receptionist) (AES 40)","AES 40",t,t
34074,1,"SCI/D Physical THerapist","3","657A0","VHA – Physical Medicine Therapist (for example a PT, OT or KT) (AES 33)","AES 33",f,t
34075,1,"Visual Information Specialist","5","593","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
34076,1,"Librarian","5","612","VBA – Instructional Systems Specialist (AES 335)","AES 335",t,t
34077,1,"Chief of Kinesiotherapy","1","614GF","VHA – Physical Medicine Therapist (for example a PT, OT or KT) (AES 33)","AES 33",t,t
34078,1,"Nursing Assistant","5","663","VHA – Nursing Assistant (AES 27)","AES 27",t,t
34079,1,"Public Contact Representative","1","341","VBA – Legal Admin Specialist (AES 340)","AES 340",t,t
34080,1,"Program Analyst","5","612","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
34081,1,"EA","5","612","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",f,t
34082,1,"Procurement Analyst","5","10N20","VHA – Contract Specialists (AES 46)","AES 46",t,t
34084,1,"Family Nurse Practitioner","5","678","VHA – Nurse Practitioner (AES 20)","AES 20",t,t
34085,1,"Chief, Audiology and Speech Pathology","4","520","VHA – Other certified or licensed hands-on direct patient care provider (AES 36)","AES 36",t,t
34086,1,"Project Manager","2","596","OIT – IT Project Management (AES 208)","AES 208",t,t
34088,1,"nurse practitioner","2","548","VHA – Nurse Practitioner (AES 20)","AES 20",t,t
34091,1,"Clinical Applications Coordinator","5","463","VHA – RN: Level III (AES 23)","AES 23",t,t
34092,1,"PACT care manager","5","593","VHA – RN: Level II (AES 22)","AES 22",t,t
34093,1,"NURSSING ASSISTANT","5","548","VHA – Nursing Assistant (AES 27)","AES 27",t,t
34094,1,"Registered Nurse","2","603","VHA – RN: Level II (AES 22)","AES 22",t,t
34095,1,"Executive Assistant","1","101","OIT – Administrative Officer – including Administrative Officer, Executive Assistant (AES 218)","AES 218",t,t
34096,1,"","1","101","Other (including Contractor)","tractor",t,t
34097,1,"Certified VSR","1","xxx","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
34099,1,"Health Informatics Specialist","3","541","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
34100,1,"Chief, Quality Management","1","673","VHA – RN: Level III (AES 23)","AES 23",t,t
34101,1,"Budget Analyst","1","101","VACO – Budget Analyst (AES 407)","AES 407",t,t
34102,1,"Certified Tumor Registrar","3","541","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
34103,1,"QA and Site Visit Supervisor","2","101","VBA – Vocational Rehabilitation Counselor (AES 373)","AES 373",t,t
34104,1,"VSR","1","314","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
34105,1,"Patient Centered Care Educator","1","512A5","VHA – Educator/Learning Officer (for example Nursing Educator, Designated Learning Officer, Designated Education Officer) (AES 119)","AES 119",t,t
34106,1,"AMSA","2","534","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
34108,1,"Admininstrative Officer","2","548","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
34109,1,"Supervisory Budget Analyst","1","101","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
34110,1,"","1","101","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
34111,1,"Secretary","1","621","VHA – Administrative or clerical employee working in a clinical area (for example a Ward Secretary, Radiology Receptionist) (AES 40)","AES 40",t,t
34112,1,"Secretary","1","586","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
34113,1,"PCMHI Care Manager","1","508","VHA – Social Worker (AES 31)","AES 31",t,t
